id,make,model,VClass,year
29955,BMW,Z4 sDrive30i,Two Seaters,2011
29956,BMW,Z4 sDrive30i,Two Seaters,2011
29957,BMW,Z4 sDrive35i,Two Seaters,2011
29958,BMW,Z4 sDrive35i,Two Seaters,2011
29959,BMW,Z4 sDrive35is,Two Seaters,2011
30007,BMW,128ci Convertible,Subcompact Cars,2011
30008,BMW,128ci Convertible,Subcompact Cars,2011
30009,BMW,128i,Subcompact Cars,2011
30010,BMW,128i,Subcompact Cars,2011
30011,BMW,135i,Subcompact Cars,2011
30012,BMW,135i,Subcompact Cars,2011
30013,BMW,135i Convertible,Subcompact Cars,2011
30014,BMW,135i Convertible,Subcompact Cars,2011
30015,BMW,328ci,Subcompact Cars,2011
30016,BMW,328ci,Subcompact Cars,2011
30017,BMW,328ci Convertible,Subcompact Cars,2011
30018,BMW,328ci Convertible,Subcompact Cars,2011
30019,BMW,328ci xDrive,Subcompact Cars,2011
30020,BMW,328ci xDrive,Subcompact Cars,2011
30021,BMW,335ci,Subcompact Cars,2011
30022,BMW,335ci,Subcompact Cars,2011
30023,BMW,335ci Convertible,Subcompact Cars,2011
30024,BMW,335ci Convertible,Subcompact Cars,2011
30025,BMW,335ci xDrive,Subcompact Cars,2011
30026,BMW,335ci xDrive,Subcompact Cars,2011
30027,BMW,335is Convertible,Subcompact Cars,2011
30028,BMW,335is Convertible,Subcompact Cars,2011
30029,BMW,335is Coupe,Subcompact Cars,2011
30030,BMW,335is Coupe,Subcompact Cars,2011
30031,BMW,M3 Convertible,Subcompact Cars,2011
30032,BMW,M3 Convertible,Subcompact Cars,2011
30033,BMW,M3 Coupe,Subcompact Cars,2011
30034,BMW,M3 Coupe,Subcompact Cars,2011
30052,BMW,328i,Compact Cars,2011
30053,BMW,328i,Compact Cars,2011
30054,BMW,328i xDrive,Compact Cars,2011
30055,BMW,328i xDrive,Compact Cars,2011
30056,BMW,335d,Compact Cars,2011
30057,BMW,335i,Compact Cars,2011
30058,BMW,335i,Compact Cars,2011
30059,BMW,335i xDrive,Compact Cars,2011
30060,BMW,335i xDrive,Compact Cars,2011
30061,BMW,M3 Sedan,Compact Cars,2011
30062,BMW,M3 Sedan,Compact Cars,2011
30070,BMW,528i,Midsize Cars,2011
30071,BMW,535i,Midsize Cars,2011
30072,BMW,550i,Midsize Cars,2011
30073,BMW,550i,Midsize Cars,2011
30074,BMW,ActiveHybrid 7i,Midsize Cars,2011
30090,BMW,740i,Large Cars,2011
30091,BMW,740Li,Large Cars,2011
30092,BMW,750i,Large Cars,2011
30093,BMW,750i xDrive,Large Cars,2011
30094,BMW,750Li xDrive,Large Cars,2011
30095,BMW,ActiveHybrid 7Li,Large Cars,2011
30096,BMW,Alpina B7 LWB xDrive,Large Cars,2011
30097,BMW,Alpina B7 SWB xDrive,Large Cars,2011
30113,BMW,328i Sports Wagon,Small Station Wagons,2011
30114,BMW,328i Sports Wagon,Small Station Wagons,2011
30115,BMW,328i xDrive Sports Wagon,Small Station Wagons,2011
30116,BMW,328i xDrive Sports Wagon,Small Station Wagons,2011
30193,BMW,ActiveHybrid X6,Sport Utility Vehicle - 4WD,2011
30194,BMW,X5 xDrive35d,Sport Utility Vehicle - 4WD,2011
30195,BMW,X5 xDrive35i,Sport Utility Vehicle - 4WD,2011
30196,BMW,X5 xDrive50i,Sport Utility Vehicle - 4WD,2011
30197,BMW,X5 xDriveM,Sport Utility Vehicle - 4WD,2011
30198,BMW,X6 xDrive35i,Sport Utility Vehicle - 4WD,2011
30199,BMW,X6 xDrive50i,Sport Utility Vehicle - 4WD,2011
30200,BMW,X6 xDriveM,Sport Utility Vehicle - 4WD,2011
30660,BMW,535i,Midsize Cars,2011
30661,BMW,535i xDrive,Midsize Cars,2011
30662,BMW,550i xDrive,Midsize Cars,2011
30675,BMW,535i Gran Turismo,Large Cars,2011
30676,BMW,535i xDrive Gran Turismo,Large Cars,2011
30677,BMW,550i Gran Turismo,Large Cars,2011
30678,BMW,550i xDrive Gran Turismo,Large Cars,2011
30679,BMW,750Li,Large Cars,2011
30680,BMW,Alpina B7 SWB,Large Cars,2011
30681,BMW,Alpina B7 LWB,Large Cars,2011
30682,BMW,760Li,Large Cars,2011
31055,BMW,X3 xDrive28i,Sport Utility Vehicle - 4WD,2011
31056,BMW,X3 xDrive35i,Sport Utility Vehicle - 4WD,2011
32276,BMW,Active E,Subcompact Cars,2011
34745,BMW,M1 Coupe,Subcompact Cars,2011
29960,Mercedes-Benz,SL550,Two Seaters,2011
29961,Mercedes-Benz,SL63 AMG,Two Seaters,2011
29962,Mercedes-Benz,SL65 AMG,Two Seaters,2011
29963,Mercedes-Benz,SLS AMG,Two Seaters,2011
30044,Mercedes-Benz,E350 Convertible,Subcompact Cars,2011
30045,Mercedes-Benz,E550 Convertible,Subcompact Cars,2011
30065,Mercedes-Benz,CLS63 AMG,Compact Cars,2011
30231,Mercedes-Benz,SLK350,Two Seaters,2011
30232,Mercedes-Benz,SLK300,Two Seaters,2011
30233,Mercedes-Benz,SLK300,Two Seaters,2011
30234,Mercedes-Benz,SLK350,Two Seaters,2011
30299,Mercedes-Benz,E350 Coupe,Subcompact Cars,2011
30300,Mercedes-Benz,E550 Coupe,Subcompact Cars,2011
30322,Mercedes-Benz,C350,Compact Cars,2011
30323,Mercedes-Benz,C300,Compact Cars,2011
30324,Mercedes-Benz,C300 4matic,Compact Cars,2011
30325,Mercedes-Benz,C63 AMG,Compact Cars,2011
30326,Mercedes-Benz,CLS550,Compact Cars,2011
30393,Mercedes-Benz,E550,Midsize Cars,2011
30394,Mercedes-Benz,E350 4matic,Midsize Cars,2011
30395,Mercedes-Benz,E550 4matic,Midsize Cars,2011
30396,Mercedes-Benz,E63 AMG,Midsize Cars,2011
30415,Mercedes-Benz,S550,Large Cars,2011
30416,Mercedes-Benz,S550 4matic,Large Cars,2011
